id,name,affiliation,homepage,scholarid,dblpid,subareas
f1,Anantha P. Chandrakasan,MIT,https://chandrakasan.mit.edu/,1729656,c/AnanthaChandrakasan,Circuits & VLSI Design
f2,Naveen Verma,Princeton,https://ee.princeton.edu/people/naveen-verma,,90/2252,Circuits & VLSI Design
f3,Onur Mutlu,ETH Zurich,https://people.inf.ethz.ch/omutlu/,1734461,m/OnurMutlu,Computer Architecture
f4,Priyanka Raina,Stanford,https://priyanka.su.domains/,,127/7770,Circuits & VLSI Design
f5,Behzad Razavi,UCLA,,,79/6032,Circuits & VLSI Design
f6,David Blaauw,University of Michigan,,,b/DBlaauw,Circuits & VLSI Design
f7,Jason Cong,UCLA,,,c/JasonCong,EDA
f8,Margaret Martonosi,Princeton,,,m/MargaretMartonosi,Computer Architecture
f9,Subhasish Mitra,Stanford,,,30/4561,EDA
f10,David A. Patterson,UC Berkeley,,,p/DAPatterson,Computer Architecture
f11,Krste Asanovic,UC Berkeley,,,a/KrsteAsanovic,Computer Architecture
f12,Boris Murmann,University of Hawaii,,,94/4508,Circuits & VLSI Design
f13,Mark Horowitz,Stanford,,,h/MarkHorowitz,Circuits & VLSI Design
